,date,weightclass,fighter,rank
87,2013-02-04,Heavyweight,Cain Velasquez,0
88,2013-02-04,Heavyweight,Junior Dos Santos,1
89,2013-02-04,Heavyweight,Fabricio Werdum,2
90,2013-02-04,Heavyweight,Daniel Cormier,3
91,2013-02-04,Heavyweight,Antonio Silva,4
92,2013-02-04,Heavyweight,Frank Mir,5
93,2013-02-04,Heavyweight,Alistair Overeem,6
94,2013-02-04,Heavyweight,Minotauro Nogueira,7
95,2013-02-04,Heavyweight,Roy Nelson,8
96,2013-02-04,Heavyweight,Stefan Struve,9
97,2013-02-04,Heavyweight,Shane Carwin,10
185,2013-02-11,Heavyweight,Cain Velasquez,0
186,2013-02-11,Heavyweight,Junior Dos Santos,1
187,2013-02-11,Heavyweight,Fabricio Werdum,2
188,2013-02-11,Heavyweight,Daniel Cormier,3
189,2013-02-11,Heavyweight,Antonio Silva,4
190,2013-02-11,Heavyweight,Frank Mir,5
191,2013-02-11,Heavyweight,Alistair Overeem,6
192,2013-02-11,Heavyweight,Minotauro Nogueira,7
193,2013-02-11,Heavyweight,Roy Nelson,8
194,2013-02-11,Heavyweight,Stefan Struve,9
195,2013-02-11,Heavyweight,Shane Carwin,10
283,2013-02-18,Heavyweight,Cain Velasquez,0
284,2013-02-18,Heavyweight,Junior Dos Santos,1
285,2013-02-18,Heavyweight,Fabricio Werdum,2
286,2013-02-18,Heavyweight,Daniel Cormier,3
287,2013-02-18,Heavyweight,Antonio Silva,4
288,2013-02-18,Heavyweight,Frank Mir,5
289,2013-02-18,Heavyweight,Alistair Overeem,6
290,2013-02-18,Heavyweight,Minotauro Nogueira,7
291,2013-02-18,Heavyweight,Roy Nelson,8
292,2013-02-18,Heavyweight,Stefan Struve,9
293,2013-02-18,Heavyweight,Shane Carwin,10
381,2013-02-25,Heavyweight,Cain Velasquez,0
382,2013-02-25,Heavyweight,Junior Dos Santos,1
383,2013-02-25,Heavyweight,Fabricio Werdum,2
384,2013-02-25,Heavyweight,Daniel Cormier,3
385,2013-02-25,Heavyweight,Antonio Silva,4
386,2013-02-25,Heavyweight,Frank Mir,5
387,2013-02-25,Heavyweight,Alistair Overeem,6
388,2013-02-25,Heavyweight,Roy Nelson,7
389,2013-02-25,Heavyweight,Minotauro Nogueira,8
390,2013-02-25,Heavyweight,Stefan Struve,9
391,2013-02-25,Heavyweight,Shane Carwin,10
479,2013-03-04,Heavyweight,Cain Velasquez,0
480,2013-03-04,Heavyweight,Junior Dos Santos,1
481,2013-03-04,Heavyweight,Fabricio Werdum,2
482,2013-03-04,Heavyweight,Daniel Cormier,3
483,2013-03-04,Heavyweight,Antonio Silva,4
484,2013-03-04,Heavyweight,Frank Mir,5
485,2013-03-04,Heavyweight,Alistair Overeem,6
486,2013-03-04,Heavyweight,Minotauro Nogueira,7
487,2013-03-04,Heavyweight,Roy Nelson,8
488,2013-03-04,Heavyweight,Mark Hunt,9
489,2013-03-04,Heavyweight,Stefan Struve,10
587,2013-03-18,Heavyweight,Cain Velasquez,0
588,2013-03-18,Heavyweight,Junior Dos Santos,1
589,2013-03-18,Heavyweight,Fabricio Werdum,2
590,2013-03-18,Heavyweight,Daniel Cormier,3
591,2013-03-18,Heavyweight,Antonio Silva,4
592,2013-03-18,Heavyweight,Frank Mir,5
593,2013-03-18,Heavyweight,Alistair Overeem,6
594,2013-03-18,Heavyweight,Minotauro Nogueira,7
595,2013-03-18,Heavyweight,Roy Nelson,8
596,2013-03-18,Heavyweight,Mark Hunt,9
597,2013-03-18,Heavyweight,Stefan Struve,10
696,2013-04-08,Heavyweight,Cain Velasquez,0
697,2013-04-08,Heavyweight,Junior Dos Santos,1
698,2013-04-08,Heavyweight,Fabricio Werdum,2
699,2013-04-08,Heavyweight,Daniel Cormier,3
700,2013-04-08,Heavyweight,Antonio Silva,4
701,2013-04-08,Heavyweight,Alistair Overeem,5
702,2013-04-08,Heavyweight,Frank Mir,6
703,2013-04-08,Heavyweight,Roy Nelson,7
704,2013-04-08,Heavyweight,Minotauro Nogueira,8
705,2013-04-08,Heavyweight,Mark Hunt,9
706,2013-04-08,Heavyweight,Stefan Struve,10
805,2013-04-15,Heavyweight,Cain Velasquez,0
806,2013-04-15,Heavyweight,Junior Dos Santos,1
807,2013-04-15,Heavyweight,Fabricio Werdum,2
808,2013-04-15,Heavyweight,Daniel Cormier,3
809,2013-04-15,Heavyweight,Antonio Silva,4
810,2013-04-15,Heavyweight,Alistair Overeem,5
811,2013-04-15,Heavyweight,Frank Mir,6
812,2013-04-15,Heavyweight,Roy Nelson,7
813,2013-04-15,Heavyweight,Minotauro Nogueira,8
814,2013-04-15,Heavyweight,Mark Hunt,9
815,2013-04-15,Heavyweight,Stefan Struve,10
816,2013-04-15,Heavyweight,Travis Browne,10
915,2013-04-22,Heavyweight,Cain Velasquez,0
916,2013-04-22,Heavyweight,Junior Dos Santos,1
917,2013-04-22,Heavyweight,Daniel Cormier,2
918,2013-04-22,Heavyweight,Fabricio Werdum,3
